,gene,gencodeId,tissue,age,gender,TPMs
0,YWHAZ,ENSG00000164924.17,Artery_Coronary,20-29,male,"[202.6, 216.5, 191.1, 215.5, 260.8, 163.2, 191.1, 164.0, 185.0]"
1,YWHAZ,ENSG00000164924.17,Artery_Coronary,20-29,female,"[207.4, 88.85, 193.7, 191.1, 175.1, 187.9, 107.4]"
2,YWHAZ,ENSG00000164924.17,Artery_Coronary,30-39,male,"[157.7, 164.1, 335.2, 189.9, 206.3, 244.4, 182.0]"
3,YWHAZ,ENSG00000164924.17,Artery_Coronary,30-39,female,"[178.0, 157.7, 137.2, 226.3, 142.9, 191.3]"
4,YWHAZ,ENSG00000164924.17,Artery_Coronary,40-49,male,"[158.6, 197.7, 141.0, 197.7, 168.8, 113.7, 247.3, 181.1, 147.7, 191.1, 191.1, 143.6, 132.9, 193.1, 153.5, 191.1, 191.1, 136.8, 138.1, 194.9, 188.6, 161.1, 158.8, 158.6]"
5,YWHAZ,ENSG00000164924.17,Artery_Coronary,40-49,female,"[193.6, 215.8, 113.0, 212.5, 161.1, 178.7, 191.1, 191.1, 158.0, 229.9, 204.1, 184.3, 149.2, 169.2, 234.3, 198.9, 188.9, 147.7, 198.8, 196.9, 185.5]"
6,YWHAZ,ENSG00000164924.17,Artery_Coronary,50-59,male,"[136.4, 203.7, 168.6, 168.4, 195.9, 202.5, 155.6, 116.4, 159.7, 131.2, 191.9, 164.8, 154.3, 107.5, 167.6, 167.9, 183.1, 98.23, 135.7, 177.8, 196.3, 171.8, 172.4, 171.9, 134.1, 112.9, 226.2, 149.9, 177.5, 139.2, 200.1, 210.8, 132.5, 227.8, 126.7, 161.6, 178.1, 189.1, 139.2, 165.5, 160.5, 294.0, 159.1, 196.2, 193.8, 127.7, 169.8, 134.7, 160.5, 195.5, 206.6, 96.25, 151.4, 194.1, 173.6, 161.9, 151.9, 125.7, 142.7, 141.9, 149.1, 149.1, 137.3, 119.3, 50.83, 200.4, 143.8, 161.1, 176.0, 118.3, 127.7]"
7,YWHAZ,ENSG00000164924.17,Artery_Coronary,50-59,female,"[167.8, 139.7, 172.3, 219.0, 226.5, 224.8, 191.9, 161.1, 181.2, 167.6, 188.0, 233.5, 242.1, 149.1, 149.1, 177.2, 174.3, 191.8, 154.8, 202.5, 218.9, 202.2, 141.5, 178.4, 186.1, 200.2, 154.9, 149.7, 202.0, 179.7, 128.4, 142.7, 170.7, 104.1]"
8,YWHAZ,ENSG00000164924.17,Artery_Coronary,60-69,male,"[190.6, 126.0, 145.1, 139.5, 157.7, 158.6, 202.5, 197.7, 154.4, 159.3, 134.4, 187.2, 187.2, 130.5, 191.9, 130.0, 167.6, 173.8, 197.7, 220.2, 227.2, 105.3, 181.6, 187.4, 115.4, 151.8, 158.2, 223.0, 136.6, 194.5, 181.3, 203.8, 213.5, 237.7, 139.2, 167.1, 184.0, 173.5, 147.7, 192.5, 190.4, 139.2, 116.9, 160.5, 164.6, 127.7, 141.8, 160.5, 183.9, 142.7, 201.4, 158.6, 127.7]"
9,YWHAZ,ENSG00000164924.17,Artery_Coronary,60-69,female,"[205.6, 205.6, 166.4, 187.2, 187.2, 199.6, 187.1, 201.7, 180.0, 184.8, 200.0, 200.0, 145.5, 175.3, 131.7, 191.9, 235.4, 157.7, 167.6, 160.9, 200.0, 200.0, 185.4, 212.9, 205.6, 205.6, 202.5, 187.6, 195.3, 241.1, 197.6, 218.8, 139.8, 228.4, 128.8, 147.7, 154.1, 140.4, 142.7, 161.3]"
10,YWHAZ,ENSG00000164924.17,Artery_Coronary,70-79,male,"[116.7, 223.7, 92.07, 189.6, 296.6]"
11,YWHAZ,ENSG00000164924.17,Artery_Coronary,70-79,female,[133.4]
