,gene,gencodeId,tissue,age,gender,TPMs
0,YWHAZ,ENSG00000164924.17,Kidney_Cortex,20-29,male,[46.55]
1,YWHAZ,ENSG00000164924.17,Kidney_Cortex,20-29,female,[]
2,YWHAZ,ENSG00000164924.17,Kidney_Cortex,30-39,male,"[118.1, 130.2, 37.61, 132.2, 30.31, 82.18]"
3,YWHAZ,ENSG00000164924.17,Kidney_Cortex,30-39,female,"[113.8, 56.74]"
4,YWHAZ,ENSG00000164924.17,Kidney_Cortex,40-49,male,"[90.18, 51.72, 37.07, 55.42, 46.52, 106.5]"
5,YWHAZ,ENSG00000164924.17,Kidney_Cortex,40-49,female,"[71.36, 40.38]"
6,YWHAZ,ENSG00000164924.17,Kidney_Cortex,50-59,male,"[63.92, 48.3, 35.97, 114.9, 63.47, 146.7, 30.17, 40.15, 32.74, 80.04, 127.7, 39.84, 35.23, 46.3, 43.46, 79.79, 68.83, 201.0, 52.91, 108.2, 88.52, 90.83, 90.11]"
7,YWHAZ,ENSG00000164924.17,Kidney_Cortex,50-59,female,"[81.7, 42.22, 46.79, 28.42, 81.77, 73.03]"
8,YWHAZ,ENSG00000164924.17,Kidney_Cortex,60-69,male,"[66.64, 29.82, 94.36, 72.34, 102.5, 73.5, 62.7, 59.56, 132.0, 77.92, 52.03, 41.02, 69.29, 77.6, 44.43, 71.25, 28.51, 92.22, 138.5, 81.44, 50.12, 65.44, 26.73, 44.82, 29.4, 140.1]"
9,YWHAZ,ENSG00000164924.17,Kidney_Cortex,60-69,female,"[167.9, 115.3, 28.72, 58.13, 108.1, 211.7, 50.91, 38.49, 103.5]"
10,YWHAZ,ENSG00000164924.17,Kidney_Cortex,70-79,male,"[56.25, 52.34, 96.7, 115.4]"
11,YWHAZ,ENSG00000164924.17,Kidney_Cortex,70-79,female,[]
